STORE NAME,STORE #,COUNT,AZALEA,COUNT,BEGONIA,COUNT,CARNATION,COUNT,DAFFODIL,COUNT,TOTAL
PARVIFLORA ?OM?A,5487123500,318,5399.31,48,668.47,0,0,0,0,366,6067.78
PARVIFLORA ?WIEBODZIN,6287467,84,243.98,15,44.51,1,0.96,0,0,100,289.45
PARVIFLORA BOGATYNIA,5487123240,2189,18433.51,297,3702.59,13,91.9,0,0,2499,22228
PARVIFLORA OSTRO??KA GROSS,5514870,2187,466.98,375,79.35,0,0,0,0,2562,546.33
PARVIFLORA LUBLIN GROSS,6366583,179,38.29,40,9.76,5,1.02,0,0,224,49.07
PARVIFLORA LUBLIN RETAIL,6366584,35,225.35,8,49.26,1,0.53,0,0,44,275.14
PARVIFLORA KATOWICE,5487123410,0,0,1,-9.52,0,0,0,0,1,-9.52
PARVIFLORA ?ÓD?,5487123390,783,3168.24,286,1219.18,9,21.63,0,0,1078,4409.05
PARVIFLORA GDA?SK,5487123430,1590,4513.82,438,1655.52,26,54.71,0,0,2054,6224.05
PARVIFLORA SZCZECIN,5487123440,1120,3568.26,330,1220.69,12,35.38,0,0,1462,4824.33
PARVIFLORA POZNA?,5487123400,1047,3135.87,302,1087.98,15,52.05,0,0,1364,4275.9
PARVIFLORA KRAKÓW,5487123420,3086,11871.63,884,3684.04,41,182.98,0,0,4011,15738.65
PARVIFLORA SUWA?KI,5487123350,290,2218.53,24,92.28,1,1.58,0,0,315,2312.39
PARVIFLORA ?OM?A GROSS,6046893,313,261.43,82,89.87,1,0.58,0,0,396,351.88
PARVIFLORA TORU?,5487123260,1686,17134.39,259,3111.9,14,170.6,0,0,1959,20416.89
PARVIFLORA OSTRO??KA,5487123340,1243,8593.05,188,1018.11,7,28.11,0,0,1438,9639.27
PARVIFLORA W?CHOCK,5487123360,361,6159.22,63,1266.73,1,3.1,0,0,425,7429.05
PARVIFLORA BIA?YSTOK,5487123210,701,3941.9,64,492.47,6,29.95,0,0,771,4464.32
PARVIFLORA KIELCE,5487123270,1925,13362.03,168,1624.99,8,46.53,0,0,2101,15033.55
PARVIFLORA KIELCE GROSS,5890887,719,196.09,71,14.06,1,0.23,0,0,791,210.38
PARVIFLORA BYDGOSZCZ,5487123200,2215,19620.22,215,2213.31,9,28.73,0,0,2439,21862.26
PARVIFLORA GORZÓW WLKP.,5487123330,235,2104.71,30,232.23,1,15.19,0,0,266,2352.13
PARVIFLORA WARSZAWA,5487123110,2629,13598.1,220,1540.86,20,82.96,0,0,2869,15221.92
PARVIFLORA WARSZAWA OCHOTA,5487123320,1641,8567.24,140,1033.31,13,12.09,0,0,1794,9612.64
PARVIFLORA KUTNO,5487123150,1035,9059.72,130,1315.69,6,38.39,0,0,1171,10413.8
PARVIFLORA WARSZAWA GROSS,5890646,2111,559,265,50.33,10,1.91,0,0,2386,611.24
PARVIFLORA TORU? GROSS,5891382,1066,417.14,156,58,3,0.82,0,0,1225,475.96
PARVIFLORA BOGATYNIA GROSS,5890958,1720,570.87,310,85.49,9,3.74,0,0,2039,660.1
PARVIFLORA W?CHOCK GROSS,5889308,238,184.36,61,27.24,8,5.53,0,0,307,217.13
PARVIFLORA WROC?AW,5487123170,628,2933.14,65,457.03,3,25.77,0,0,696,3415.94
PARVIFLORA BYDGOSZCZ GROSS,5890909,1909,773.88,293,96.64,18,13.62,0,0,2220,884.14
PARVIFLORA KUTNO GROSS,5890933,115,29.33,21,3.32,2,0.12,0,0,138,32.77
PARVIFLORA CHE?M OTHER,6226380,182,2400.18,7,187.12,1,5.86,0,0,190,2593.16
PARVIFLORA CHE?M GROSS,6237566,404,186.89,66,47.66,1,0.06,0,0,471,234.61
PARVIFLORA CHE?M RETAIL,6237241,152,3722.92,37,1722.7,0,0,0,0,189,5445.62
PARVIFLORA,6356299,29,67.31,3,1.73,0,0,0,0,32,69.04
