STORE NAME,STORE #,COUNT,AZALEA,COUNT,BEGONIA,COUNT,CARNATION,COUNT,DAFFODIL,COUNT,TOTAL
PARVIFLORA ?OM?A,5487123500,374,5737.84,71,2090.7,1,0.7,0,0,446,7829.24
PARVIFLORA ?WIEBODZIN,6287467,70,215.13,18,64.73,0,0,0,0,88,279.86
PARVIFLORA BOGATYNIA,5487123240,2137,17825.08,336,3344.47,13,85.94,0,0,2486,21255.49
PARVIFLORA OSTRO??KA GROSS,5514870,2343,472.03,345,77.46,0,0,0,0,2688,549.49
PARVIFLORA RZESZÓW,6366121,598,2063.29,105,370.19,6,20.71,0,0,709,2454.19
PARVIFLORA RZESZÓW RETAIL,6366123,116,411.52,24,74.31,1,3.25,0,0,141,489.08
PARVIFLORA LUBLIN GROSS,6366583,1667,379.38,240,55.54,32,6.21,0,0,1939,441.13
PARVIFLORA LUBLIN OTHER,6366582,1949,9165.57,409,2152.55,66,205.11,0,0,2424,11523.23
PARVIFLORA LUBLIN RETAIL,6366584,378,4259.86,80,686.09,3,9.6,0,0,461,4955.55
PARVIFLORA OPOLE GROSS,6366593,2638,785.48,396,131.91,12,7.59,0,0,3046,924.98
PARVIFLORA OPOLE OTHER,6366592,3293,12837.45,478,1945.97,46,145.24,0,0,3817,14928.66
PARVIFLORA OPOLE RETAIL,6366594,728,2728.51,124,267.38,10,19.7,0,0,862,3015.59
PARVIFLORA ?ÓD?,5487123390,759,3459.28,282,1152.98,6,18.87,0,0,1047,4631.13
PARVIFLORA KALISZ GROSS,6366598,1424,329.36,262,66.68,11,3.1,0,0,1697,399.14
PARVIFLORA KALISZ OTHER,6366597,3071,17997.55,596,3891.16,69,542.31,0,0,3736,22431.02
PARVIFLORA KALISZ RETAIL,6366599,560,2698.27,123,651.44,2,6.81,0,0,685,3356.52
PARVIFLORA GDA?SK,5487123430,1592,5162.2,438,1896.82,19,50.51,0,0,2049,7109.53
PARVIFLORA SZCZECIN,5487123440,1071,3054.7,347,1128.02,13,35.67,0,0,1431,4218.39
PARVIFLORA POZNA?,5487123400,1019,2983.95,300,1123.86,16,103.79,0,0,1335,4211.6
PARVIFLORA KRAKÓW,5487123420,3280,13125.96,934,5000.09,64,145.36,0,0,4278,18271.41
PARVIFLORA SUWA?KI,5487123350,302,2410.42,33,215.66,0,0,0,0,335,2626.08
PARVIFLORA PRZEMY?L GROSS,6369492,5330,2482.72,1092,664.62,50,31.47,0,0,6472,3178.81
PARVIFLORA PRZEMY?L OTHER,6369489,2767,12053.1,557,2903.06,49,304.68,0,0,3373,15260.84
PARVIFLORA PRZEMY?L RETAIL,6369490,296,1493.79,58,239.6,1,1.81,0,0,355,1735.2
PARVIFLORA ?OM?A GROSS,6046893,497,556.65,112,127.75,1,0.97,0,0,610,685.37
PARVIFLORA TORU?,5487123260,1786,16391.19,307,2426.84,11,306.26,0,0,2104,19124.29
PARVIFLORA OSTRO??KA,5487123340,1288,9054.37,185,929.3,23,188.48,0,0,1496,10172.15
PARVIFLORA W?CHOCK,5487123360,399,7114.13,73,887.15,3,12.43,0,0,475,8013.71
PARVIFLORA BIA?YSTOK,5487123210,753,5002.03,90,737.55,4,9.84,0,0,847,5749.42
PARVIFLORA KIELCE,5487123270,2098,14352.52,226,2186.54,11,95.32,0,0,2335,16634.38
PARVIFLORA KIELCE GROSS,5890887,760,211.84,103,24,5,1.68,0,0,868,237.52
PARVIFLORA BYDGOSZCZ,5487123200,2676,22263.46,273,2229.96,13,135.97,0,0,2962,24629.39
PARVIFLORA GORZÓW WLKP.,5487123330,356,3183.23,34,405.29,0,0,0,0,390,3588.52
PARVIFLORA WARSZAWA,5487123110,2717,13625.89,246,1577.5,24,78.87,0,0,2987,15282.26
PARVIFLORA WARSZAWA OCHOTA,5487123320,1580,8736.19,170,1137.89,12,165.63,0,0,1762,10039.71
PARVIFLORA KUTNO,5487123150,1029,8677.67,149,1449.78,7,49.88,0,0,1185,10177.33
PARVIFLORA WARSZAWA GROSS,5890646,2323,625.56,390,75.46,19,4.64,0,0,2732,705.66
PARVIFLORA TORU? GROSS,5891382,1146,464.99,210,66.02,4,1.21,0,0,1360,532.22
PARVIFLORA BOGATYNIA GROSS,5890958,1922,621.43,308,84.65,6,2.44,0,0,2236,708.52
PARVIFLORA W?CHOCK GROSS,5889308,321,261.14,62,39.09,9,7.82,0,0,392,308.05
PARVIFLORA WROC?AW,5487123170,669,3055.51,61,569.52,5,21.48,0,0,735,3646.51
PARVIFLORA BYDGOSZCZ GROSS,5890909,2052,881.18,371,123.39,23,12.09,0,0,2446,1016.66
PARVIFLORA KUTNO GROSS,5890933,127,28.64,15,2.59,0,0,0,0,142,31.23
PARVIFLORA CHE?M OTHER,6226380,185,2319.99,11,213.1,1,6.29,0,0,197,2539.38
PARVIFLORA CHE?M GROSS,6237566,553,219.15,131,51.49,0,0,0,0,684,270.64
PARVIFLORA CHE?M RETAIL,6237241,189,4996.51,34,949.23,1,6.38,0,0,224,5952.12
PARVIFLORA,6356299,18,23.06,2,4.06,1,51.15,0,0,21,78.27
